?Concept	?Broader	?labelNL	?labelEN	?definitions	?altLabelsNL	?altLabelsEN	?reference	?comments
https://bimloket.nl/data/kernmodel/thesaurus#3558a562-2e31-4599-ad0e-8658c0bca110	https://w3id.org/nen2660/term#FunctionalEntity	passieve functionele entiteit		Functionele entiteit met een passieve functie, die het resultaat van een uitvoering van processen specificeert in termen van input en output.			NEN 2660-1	none
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0007		aandrijving	drivetrain					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0008	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0700	aandrijving en bewegingswerk (elektrohydraulisch)		Installatie die de hoofdbeweging(en) van een object(deel) mogelijk maakt met behulp van een elektrohydraulische overbrenging (bron: NPR 4768)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0700	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c1797	aandrijving en bewegingswerk	powertrain and operating mechanism	Installatie die de hoofdbeweging(en) van een object(deel) mogelijk maakt met behulp van een overbrenging. (bron: AOA Begrippen- en Definitielijst)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0009	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0700	aandrijving en bewegingswerk (elektromechanisch)		Installatie die de hoofdbeweging(en) van een object(deel) mogelijk maakt met behulp van een elektromechanische overbrenging (bron: NPR 4768)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0010	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0700	aandrijving en bewegingswerk (mechanisch)		Installatie die de hoofdbeweging(en) van een object(deel) mogelijk maakt met behulp van mechanische overbrenging (bron: NPR 4768)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0019	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c1319	snelheid	velocity	TODO (bron: NEN-EN-ISO 80000 series)		speed		
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c1319	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c1538	fysieke grootheid	physical quantity	TODO (bron: NEN-EN-ISO 80000 series)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0021		aanloopgebied	approach area					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0026	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0613	aanrijbalk	impact bar	Balkvormige aanrijbescherming boven de weg voor het beschermen van constructies tegen de aanrijding van een voertuig. (bron: NPR 4768)				
